id,inbound_id,enable,email,up,down,expiry_time,total,reset
60,2,1,40_20GB,1471208395,36442834625,1711058574359,38654705664,0
70,2,1,51_30GB,1795621352,22354222206,1711983336903,42949672960,0
129,5,0,PassingVPN | 🇩🇪 | sV1 | 001,1344369472,20277492163,1709052686000,28991029248,0
130,5,1,PassingVPN | 🇩🇪 | sV1 | 002,2658641488,64845636644,1711059336000,112742891520,0
131,5,1,PassingVPN | 🇩🇪 | sV1 | 003,1665032258,16596216195,1711665166000,53687091200,0
133,5,0,PassingVPN | 🇩🇪 | sV1 | 005,224932128,6054831196,1709157308000,7516192768,0
134,5,0,PassingVPN | 🇩🇪 | sV1 | 006,746555301,22986886709,1709263598000,23622320128,0
135,5,1,PassingVPN | 🇩🇪 | sV1 | 007,1826105095,21224543644,1711910872000,48318382080,0
136,5,1,PassingVPN | 🇩🇪 | sV1 | 008,1150945887,42948586202,1711902182000,53687091200,0
137,5,0,PassingVPN | 🇩🇪 | sV1 | 009,2632148637,31851812777,1709382022000,34359738368,0
138,5,0,PassingVPN | 🇩🇪 | sV1 | 010,256633,616235,1709052676000,21474836480,0
153,2,1,Main,3492779816,89138262940,0,0,0
156,2,1,70_40GB,2246421897,69948595432,1711873320247,85899345920,0
177,5,0,PassingVPN | 🇩🇪 | sV1 |11,544758653,10545987733,1709327012000,21474836480,0
227,2,1,94_10GB,375087383,13988645694,1711562739033,18253611008,0
257,7,1,on39fv0b,43752452,88582276,0,0,0
269,2,1,93_30GB,254257601,4103032599,1712507289639,29931343107,0
270,2,1,106_40GB,130838022,4106382024,1710598871334,42949672960,0
276,2,1,108_20GB,351080776,10752121850,1710672869363,21474836480,0
295,2,1,119_40GB,580559414,11429153516,1710920157449,42949672960,0
299,2,1,123_40GB,4142049510,63607039900,1712316511905,85899345920,0
302,2,1,125_20GB,349692530,10787898583,1711095418430,21474836480,0
307,2,1,128_40GB,6236088898,9124974442,1711170033895,42949672960,0
310,2,1,124_100GB,2444832470,52449013493,1711204585067,107374182400,0
314,2,1,132_30GB,404062897,11892784951,1711267463542,32212254720,0
316,2,1,135_30GB,715276928,34490675709,1713874244273,64424509440,0
324,2,1,140_40GB,877878631,25970889789,1711345237238,42949672960,0
327,2,1,335_60GB,2620068348,29421161517,1711286314820,64424509440,0
336,2,1,131_30GB,413826649,18750574106,1711217499513,28693305991,0
339,2,1,439_30GB,1596726446,23099642771,1711562542523,31974459242,0
343,2,1,441_20GB,863637378,33965023736,1710840642812,44023414784,0
349,2,1,445_1GB,211758346,10127066410,1712432138773,11811160064,0
352,2,1,29_20GB,706022303,9040880030,1712098004799,21514360488,0
355,2,0,449_1GB,36626566,1038548151,1710053980804,1073741824,0
357,2,1,452_1GB,0,0,1710109967405,1073741824,0
361,2,1,453_8GB,143380729,7363688536,1712206728730,8589934592,0
362,2,1,454_1GB,0,0,1710228382637,1073741824,0
363,2,1,455_10GB,798488547,13397225293,1711526454232,32212254720,0
365,2,1,456_1GB,105695,593191,1710277539347,1073741824,0
366,2,1,457_10GB,247064201,6600964185,1710281070578,10521827448,0
368,7,1,14_Netherlands_50GB,812085483,15173500147,1713192295631,41444506386,0
370,7,1,434_10GB,23916175,3127259230,1711385579501,8057458938,0
371,8,1,valis3ao,572331,14778446,0,0,0
372,2,1,459_1GB,0,0,1710402844292,1073741824,0
373,2,1,460_1GB,24142215,1030687774,1710403965041,1073741824,0
378,2,1,560_40GB,16532007,231600554,1712558062744,42949672960,0
379,2,1,446_Infinite_Service,4399603,39267721,0,0,0
381,2,1,561_1GB,8678186,225421153,1710624474310,1073741824,0
